display_url,caption,likes,comments,date,owner_username,Categoria
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/10990549_466226616867076_997273783_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2AFgNXzavLu57xMDh0NOUFO65GgDt_bcQPCgldN-Qz9vikh2XOyV8lVPFzydVwrSdcs&_nc_ohc=1VOBNGjuHJMQ7kNvgFrl_jJ&_nc_gid=f6055b3cd6144225b558edbcdaca08b2&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYB59vnzTScGsEGFCyiCRfJpXiD4D1MzE6ViirS9ADWsxA&oe=67B9B7CF&_nc_sid=d885a2,Quantas curtidas merece essa gatinha? Lilo,113,4,"2015-03-11T11:48:59,000",mpizzato,Redes Sociais
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/11007975_1569050206713859_788294975_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2AEqDJkk-renACqehZ81t9nJRbFjq-E1czOrJ_bYZC4oEJn_xgfPYbbPW7WBM7f0gG4&_nc_ohc=52riPmH4_e8Q7kNvgFaUEJK&_nc_gid=90fadee8573b4f78a95f51b0556b5e35&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBCY--mcQ5zobdncSvKBd_1HJ33WSUQPeVKwI9uRBDpGg&oe=67B9C485&_nc_sid=d885a2,"Essa foto tá mto melhor no face pq ela é 35mm, mas fica aqui a versão insta! Fiquei pouco tempo na Igreja pois tava rolando um velório russo: trágicômico",42,3,"2015-03-17T09:04:01,000",mpizzato,Redes Sociais
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/10543556_1461764694114306_1349830278_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2AGR4s5b-W9LUdyyJRNTgMfEAVQyhE9NwNOFyJFLtomZpMNlZipGWQS_sx7u89RaKy0&_nc_ohc=IQr9YsDUVrUQ7kNvgHiSHSd&_nc_gid=d4d1957c05354515ab0ce4a69a89ec43&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCAonKm3Qwqy4Fqui8_dMg-9L3kDyKQqYksuQIXfJC5kQ&oe=67B9CE93&_nc_sid=d885a2,Afilhado e irmão curtindo in Rio @helenacb,94,3,"2015-04-12T13:52:54,000",mpizzato,Redes Sociais
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/11311546_1703739013188325_569959692_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2AFv5wDF0pjkLbgh2yI4_DYQqVmwQ3iy_C9ZrNkqKIHo85cEPwYUU6B2_eXDDzjasKE&_nc_ohc=UFw0Zm6f_G4Q7kNvgF1AFXA&_nc_gid=e9e48c80cfee4eabb5d884fcc5916d99&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYC6YuHLf8Z_MkqvcGZjWCoU94N_V9un9Ag4ZSjt0HdvUQ&oe=67B9B8D5&_nc_sid=d885a2,"Insta People, fiz um insta c a @annahadba chamado @through__lens ! Dá um like se quiser ver fotos minhas. Na humilde, obrigado. Sábio na praia de Ipanema",142,6,"2015-08-22T20:48:01,000",mpizzato,Redes Sociais
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/66806135_2382486025342033_8822025472563796455_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2AFcsjaaqcj4CefhRVrLCobtMUZTwP6MKUiNYYRPE4dB9gh52jP_A7V4Y2yT74BLXRU&_nc_ohc=pEFEVkIDUCcQ7kNvgEyZvfW&_nc_gid=42c6583c77d5461aaea8452c7d618061&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAWCyCXqbvej1xiN-G3_8PiW-a1Dn5NXTDFAmZItOHYyg&oe=67B9BA12&_nc_sid=d885a2,"No dia do meu aniversário, a @gobrasa vem a público e anuncia minha participação como mentor na próxima Brasa Next. Vai ser uma honra participar e ajudar a nova geração brasileira de líderes. Gratidão! Obrigado @erichalpern18 pelo convite.",632,65,"2019-07-30T19:24:06,000",mpizzato,Vida Profissional
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/25006595_194267931149078_8287789084449964032_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2AGCCBXJODes1hTveGNEyb1Aj8qPLxYOsmkcm08RV4ciNUdmiYzuEp5bAFwxC4qVYbw&_nc_ohc=wb8j0xUS9dQQ7kNvgFBGckx&_nc_gid=78af4ebd403b49c896d7f5857eae6b41&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBuJMNEZ8ayFW1xhndsUSiWPadB1i3mvQ_5TLnnJMkQww&oe=67B9CFA6&_nc_sid=d885a2,The look 👀 #babyvogue,388,19,"2017-12-10T16:54:31,000",mpizzato,Redes Sociais
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/25006956_1867801630198396_848120697950568448_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2AH9c2sJp2ljChXJW4-7A0NP7XM_e7bRp5iS1ytlc0dFG1I2MAiLrgbFPpqVM2u45Sk&_nc_ohc=_bNFWISdEpMQ7kNvgEgWtWb&_nc_gid=9b4b6017c5784aa9a0c376e3558536e2&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYACHf3a0s1GXxnTeG2uRTqalnu2oPJJ-NIN6MHZ4tF0tA&oe=67B9AC0D&_nc_sid=d885a2,Alice e o Sagrado Feminino 🧜‍♀️,320,4,"2017-12-11T14:15:22,000",mpizzato,Autoconhecimento
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/13267437_241872222857802_1430349535_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2AG0HcC5l3z7L6X9eoki9tsgdLF2AO_Wc6jTpkJ-ljCgZUYalzOuCs8mZWjkKp2BwI8&_nc_ohc=oysBEd7g6z0Q7kNvgFsWnlK&_nc_gid=bb24ac98b9994af997bcb7850e5a8a39&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAPJei7W8Qqgx9CwhMCekzvwjUwd5lc2tePdqtkkY4OIA&oe=67B9B115&_nc_sid=d885a2,Minha filha nascendo à la Caravaggio,184,42,"2016-05-25T11:52:46,000",mpizzato,Familia
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/27879149_421698981601416_1591462911346212864_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2AG7Ksvrqx3ii7RefM9NA-9Vap4SJF2HIBwWk9IWDs-wcl_Ydt-IUHhx0HeuN7RGirw&_nc_ohc=W4BEgxNb5LYQ7kNvgG7Li5x&_nc_gid=543d8f97301a4995b99c911f6fba143b&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCh0-IK-6JyzPI2iMaOQqUma-qk2ltlhtYGXyouwZDj0A&oe=67B9CEAB&_nc_sid=d885a2,"Sempre que vocês vão embora, uma pequena parte de mim vai junto. Amo muito os dois! Voltem logo.

Obs: Acabei de embarcar meus pais p o Brasil. Quando vai ser minha vez? Morrendo de saudade, Rio.",883,33,"2018-02-20T23:45:52,000",mpizzato,Familia
https://instagram.fstu2-1.fna.fbcdn.net/v/t51.2885-15/13398405_649023105250622_365197572_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fstu2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2AGCiCCyNuzcrxsEru5OtWzGO-RGiOi69JS6dUDT_eNjEdQbUIGLlev4pzwJsUhhAXI&_nc_ohc=UtkaisNcvKQQ7kNvgGWPGl5&_nc_gid=3919ecd3326346539b4ce674dd41b325&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCKOl6GVNLCyZRquqxb419D5dkD7hyCx0vMRLTerkUeYQ&oe=67B9BD14&_nc_sid=d885a2,"Primeiro dia viajando e já to morrendo de saudade da minha princesa White Walker, ou, mais conhecida como pacotinho de arroz. Papai tá mal de ir p tão longe. Em breve, tô de volta p te encher de pêlo do peito.",174,29,"2016-06-21T20:33:37,000",mpizzato,Relacionamento Interpessoal
