folder,file_path,text,status,source
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-065llrtxW-,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-065llrtxW-\2015-04-01_05-18-40_UTC.jpg,"e a
ao licmo.
ns RR AM À »
SS ss 1
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0F2KRQNxdi,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0F2KRQNxdi\2015-03-11_14-48-59_UTC.jpg,"O
F ” SA EE a
> CA. di : Pp
Ea A co a ,
pi
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0fIYeQNxVZ,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0fIYeQNxVZ\2015-03-21_10-29-13_UTC.jpg,"=! Ria ração
A a
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0KtAI8NxSl,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0KtAI8NxSl\2015-03-13_12-05-09_UTC.jpg,"k
j o
“
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0rNLimNxed,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0rNLimNxed\2015-03-26_03-02-02_UTC.jpg,"PRRDRE ( < e.
ai a E r
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0ut-ZzNxcE,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0ut-ZzNxcE\2015-03-27_11-46-19_UTC.jpg,"CO RENO
UR PR SA A

Doo NES oe MA VA EN
JA ==
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0VADU0NxZa,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0VADU0NxZa\2015-03-17_12-04-01_UTC.jpg,"Pos “EA
eee
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0X-xjBtxeF,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0X-xjBtxeF\2015-03-18_15-50-35_UTC.jpg,"o
Se
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0yYIgQtxYZ,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-0yYIgQtxYZ\2015-03-28_21-52-25_UTC.jpg,,Não encontrado,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-1Ydx4CNxWa,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-1Ydx4CNxWa\2015-04-12_16-52-54_UTC.jpg,"RO = ante ao
DA Ee não Si Daio STS
E A RR 7 on E co Pur
"" o »
ES e sis TED
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3B_QSGtxRJ,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3B_QSGtxRJ\2015-05-23_16-25-40_UTC.jpg,"esse | Ea AR
dd a ni
REPOR cus
e ei P à Ph a AE
ri ADO PARA DR es e pr NES A TE MIS AD PD ET A RN a A
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3ChQd2txWf,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3ChQd2txWf\2015-05-23_21-22-47_UTC.jpg,"DR a e ia FAMA
a O E Ted

RR dA CARA 1) A RA
OC si UA
EST Da EE REA A
Ps «SQRA AR SE E
ADE SU PDA pe Noé YE
CE cp A O ge
RES RO ER ES ETA ato
RR o | digo A IRR RtaiE
eo Pao do 3 RE A DO TAS
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3EVvATNxSd,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3EVvATNxSd\2015-05-24_14-20-35_UTC.jpg,"4
:
",Extraído,Imagem
C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3s10fhtxQa,C:\Users\user\PycharmProjects\pizzato_web\postagens_mpizza\-3s10fhtxQa\2015-06-09_07-50-34_UTC.jpg,"LO o O O
à EAD , “Pa
E E | É à
= 4 Rio ED =D neta me! Em piaáoo
",Extraído,Imagem
